,Location,Price,Bathrooms,Car Parks,Property Type,Size,Furnishing,Real Rooms
2759,"Sungai Besi, Kuala Lumpur",210000.0,4.0,2.0,Terrace/Link,Land area : 20x80 sq. ft.,Partly Furnished,5
2762,"Sri Hartamas, Kuala Lumpur",3360000.0,6.0,15.0,Bungalow,Land area : 17800 sq. ft.,Partly Furnished,5
2763,"Bangsar, Kuala Lumpur",1743000.0,7.0,1.0,Bungalow,Land area : 13217 sq. ft.,Partly Furnished,6
2765,"Bangsar, Kuala Lumpur",2058000.0,20.0,6.0,Bungalow,Land area : 14102 sq. ft.,Fully Furnished,20
2766,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",75600.0,2.0,1.0,Residence,Built-up : 950 sq. ft.,Partly Furnished,3
2767,"Bukit Bintang, Kuala Lumpur",336000.0,3.0,2.0,Condo,"Built-up : 1,822 sq. ft.",Partly Furnished,3
2768,"Bukit Bintang, Kuala Lumpur",378000.0,3.0,2.0,Condo,"Built-up : 2,111 sq. ft.",Fully Furnished,4
2769,"KLCC, Kuala Lumpur",546000.0,2.0,2.0,Residence,"Built-up : 1,195 sq. ft.",Partly Furnished,2
2770,"KL City, Kuala Lumpur",283500.0,3.0,2.0,Residence,"Built-up : 1,582 sq. ft.",Fully Furnished,3
2771,"KL City, Kuala Lumpur",220500.0,3.0,1.0,Residence,Land area : 1281 sq. ft.,Fully Furnished,3
2772,"Setiawangsa, Kuala Lumpur",346500.0,3.0,2.0,Terrace/Link,Land area : 2000 sq. ft.,Partly Furnished,4
2773,"Jalan Kuching, Kuala Lumpur",84000.0,2.0,1.0,Condo,Land area : 1100 sq. ft.,Partly Furnished,3
2774,"Taman Tun Dr Ismail, Kuala Lumpur",172200.0,2.0,1.0,Residence,Built-up : 795 sq. ft.,Fully Furnished,2
2775,"Cheras, Kuala Lumpur",142800.0,2.0,1.0,Residence,Built-up : 803 sq. ft.,Partly Furnished,2
2776,"Kepong, Kuala Lumpur",81480.0,2.0,2.0,Condo,Built-up : 901 sq. ft.,Unfurnished,3
2777,"Dutamas, Kuala Lumpur",325500.0,5.0,3.0,Condo,"Built-up : 3,020 sq. ft.",Partly Furnished,5
2778,"Dutamas, Kuala Lumpur",367500.0,5.0,3.0,Condo,"Built-up : 2,412 sq. ft.",Fully Furnished,5
2779,"Dutamas, Kuala Lumpur",258300.0,4.0,3.0,Condo,"Built-up : 1,991 sq. ft.",Partly Furnished,5
2780,"Mont Kiara, Kuala Lumpur",394800.0,5.0,4.0,Condo,"Built-up : 3,152 sq. ft.",Partly Furnished,5
2781,"Mont Kiara, Kuala Lumpur",357000.0,5.0,3.0,Condo,"Built-up : 2,552 sq. ft.",Fully Furnished,5
2782,"Mont Kiara, Kuala Lumpur",256200.0,4.0,2.0,Condo,"Built-up : 1,448 sq. ft.",Fully Furnished,4
2783,"Sri Hartamas, Kuala Lumpur",667800.0,5.0,3.0,Condo,"Built-up : 3,983 sq. ft.",Partly Furnished,5
