,Location,Price,Bathrooms,Car Parks,Property Type,Size,Furnishing,Real Rooms
0,"KLCC, Kuala Lumpur",262500.0,3.0,2.0,Residence,"Built-up : 1,335 sq. ft.",Fully Furnished,3
2,"Dutamas, Kuala Lumpur",216300.0,4.0,2.0,Condo,"Built-up : 1,875 sq. ft.",Partly Furnished,3
4,"Bukit Jalil, Kuala Lumpur",189000.0,3.0,2.0,Condo,"Built-up : 1,513 sq. ft.",Partly Furnished,5
5,"Taman Tun Dr Ismail, Kuala Lumpur",1123500.0,5.0,4.0,Bungalow,Land area : 7200 sq. ft.,Partly Furnished,6
7,"Taman Tun Dr Ismail, Kuala Lumpur",546000.0,4.0,4.0,Others,Land area : 3600 sq. ft.,Partly Furnished,5
8,"Taman Tun Dr Ismail, Kuala Lumpur",409500.0,4.0,3.0,Terrace/Link,Land area : 25x75 sq. ft.,Partly Furnished,5
9,"Sri Petaling, Kuala Lumpur",80850.0,2.0,1.0,Duplex,Built-up : 904 sq. ft.,Partly Furnished,3
13,"Taman Tun Dr Ismail, Kuala Lumpur",961800.0,5.0,5.0,Bungalow,Land area : 6000 sq. ft.,Partly Furnished,7
16,"Bukit Tunku (Kenny Hills), Kuala Lumpur",1890000.0,7.0,4.0,Bungalow,Land area : 8500 sq. ft.,Partly Furnished,7
18,"Mont Kiara, Kuala Lumpur",373800.0,4.0,2.0,Condo,"Built-up : 1,830 sq. ft.",Partly Furnished,5
19,"Mont Kiara, Kuala Lumpur",724500.0,6.0,3.0,Condo,"Built-up : 3,720 sq. ft.",Fully Furnished,5
20,"Desa ParkCity, Kuala Lumpur",315000.0,4.0,2.0,Condo,"Built-up : 1,798 sq. ft.",Partly Furnished,5
21,"Damansara Heights, Kuala Lumpur",325500.0,1.0,1.0,Residence,Built-up : 904 sq. ft.,Fully Furnished,1
22,"Mont Kiara, Kuala Lumpur",315000.0,4.0,3.0,Condo,"Built-up : 2,163 sq. ft.",Fully Furnished,4
24,"Bangsar South, Kuala Lumpur",102900.0,1.0,1.0,Residence,Built-up : 520 sq. ft.,Fully Furnished,1
26,"Bukit Jalil, Kuala Lumpur",128100.0,2.0,2.0,Condo,"Built-up : 1,236 sq. ft.",Partly Furnished,4
28,"Dutamas, Kuala Lumpur",217534.8,4.0,1.0,Condo,"Built-up : 1,876 sq. ft.",Partly Furnished,4
31,"Ampang Hilir, Kuala Lumpur",693000.0,4.0,4.0,Condo,"Built-up : 3,536 sq. ft.",Unfurnished,5
33,"Ampang Hilir, Kuala Lumpur",96600.0,1.0,1.0,Residence,Built-up : 613 sq. ft.,Fully Furnished,1
35,"KLCC, Kuala Lumpur",504000.0,2.0,1.0,Residence,"Built-up : 1,006 sq. ft.",Fully Furnished,2
39,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",301980.0,4.0,3.0,Condo,"Built-up : 2,378 sq. ft.",Partly Furnished,5
40,"Mont Kiara, Kuala Lumpur",361200.0,6.0,3.0,Condo,"Built-up : 2,020 sq. ft.",Partly Furnished,5
42,"KLCC, Kuala Lumpur",898800.0,4.0,2.0,Residence,"Built-up : 2,195 sq. ft.",Fully Furnished,4
43,"KLCC, Kuala Lumpur",483000.0,2.0,1.0,Residence,"Built-up : 1,023 sq. ft.",Partly Furnished,1
44,"Damansara Heights, Kuala Lumpur",882000.0,5.0,5.0,Bungalow,Land area : 5274 sq. ft.,Partly Furnished,6
45,"Sungai Besi, Kuala Lumpur",189000.0,5.0,3.0,Terrace/Link,Land area : 20 X 80 sq. ft.,Fully Furnished,6
46,"KLCC, Kuala Lumpur",567000.0,4.0,3.0,Residence,"Built-up : 3,095 sq. ft.",Fully Furnished,4
47,"Mont Kiara, Kuala Lumpur",226800.0,2.0,1.0,Residence,Built-up : 896 sq. ft.,Fully Furnished,2
48,"Mont Kiara, Kuala Lumpur",241500.0,2.0,2.0,Condo,"Built-up : 1,200 sq. ft.",Partly Furnished,3
49,"Bukit Jalil, Kuala Lumpur",224700.0,4.0,4.0,Condo,"Built-up : 1,772 sq. ft.",Partly Furnished,5
50,"Bukit Jalil, Kuala Lumpur",195300.0,3.0,2.0,Condo,"Built-up : 1,513 sq. ft.",Partly Furnished,4
52,"Bangsar South, Kuala Lumpur",163800.0,2.0,1.0,Residence,Built-up : 880 sq. ft.,Partly Furnished,2
53,"KLCC, Kuala Lumpur",860580.0,3.0,2.0,Residence,"Built-up : 2,066 sq. ft.",Partly Furnished,4
55,"KL City, Kuala Lumpur",378000.0,2.0,1.0,Residence,"Built-up : 1,244 sq. ft.",Fully Furnished,2
57,"Mont Kiara, Kuala Lumpur",483000.0,5.0,2.0,Condo,"Built-up : 2,702 sq. ft.",Partly Furnished,5
59,"KLCC, Kuala Lumpur",840000.0,3.0,2.0,Condo,"Built-up : 2,250 sq. ft.",Fully Furnished,4
60,"Ampang Hilir, Kuala Lumpur",1008000.0,6.0,3.0,Condo,"Built-up : 4,300 sq. ft.",Partly Furnished,5
61,"Ampang Hilir, Kuala Lumpur",793800.0,5.0,4.0,Condo,"Built-up : 3,628 sq. ft.",Partly Furnished,5
63,"Bangsar South, Kuala Lumpur",178500.0,2.0,1.0,Residence,"Built-up : 1,050 sq. ft.",Fully Furnished,3
65,"KLCC, Kuala Lumpur",356748.0,2.0,1.0,Residence,"Built-up : 1,227 sq. ft.",Fully Furnished,2
66,"Sungai Besi, Kuala Lumpur",209790.0,4.0,2.0,Terrace/Link,"Built-up : 2,512 sq. ft.",Partly Furnished,5
67,"KL Sentral, Kuala Lumpur",735000.0,1.0,1.0,Residence,"Built-up : 1,648 sq. ft.",Partly Furnished,1
68,"KLCC, Kuala Lumpur",315000.0,2.0,1.0,Residence,"Built-up : 1,022 sq. ft.",Fully Furnished,2
69,"KLCC, Kuala Lumpur",483000.0,2.0,1.0,Residence,"Built-up : 1,023 sq. ft.",Partly Furnished,1
70,"Mont Kiara, Kuala Lumpur",384300.0,4.0,2.0,Condo,"Built-up : 1,830 sq. ft.",Partly Furnished,4
71,"Taman Melawati, Kuala Lumpur",157500.0,3.0,3.0,Terrace/Link,Land area : 24 X 75 sq. ft.,Partly Furnished,4
72,"Setapak, Kuala Lumpur",121800.0,2.0,2.0,Condo,"Built-up : 1,550 sq. ft.",Partly Furnished,5
74,"Mont Kiara, Kuala Lumpur",457800.0,4.0,3.0,Condo,"Built-up : 3,000 sq. ft.",Partly Furnished,5
76,"KLCC, Kuala Lumpur",426300.0,5.0,2.0,Condo,"Built-up : 2,356 sq. ft.",Fully Furnished,4
77,"Mont Kiara, Kuala Lumpur",724500.0,6.0,3.0,Condo,"Built-up : 3,720 sq. ft.",Fully Furnished,5
79,"City Centre, Kuala Lumpur",856800.0,5.0,2.0,Condo,"Built-up : 3,713 sq. ft.",Partly Furnished,5
80,"Taman Tun Dr Ismail, Kuala Lumpur",604800.0,3.0,4.0,Terrace/Link,Land area : 4244 sq. ft.,Partly Furnished,5
81,"KLCC, Kuala Lumpur",377790.0,1.0,1.0,Residence,Built-up : 720 sq. ft.,Fully Furnished,1
83,"KLCC, Kuala Lumpur",382200.0,2.0,2.0,Condo,"Built-up : 1,159 sq. ft.",Fully Furnished,3
84,"KLCC, Kuala Lumpur",210000.0,3.0,2.0,Residence,"Built-up : 1,313 sq. ft.",Partly Furnished,4
85,"KLCC, Kuala Lumpur",346500.0,5.0,2.0,Condo,"Built-up : 1,905 sq. ft.",Fully Furnished,4
87,"KLCC, Kuala Lumpur",483000.0,1.0,2.0,Residence,"Built-up : 1,023 sq. ft.",Partly Furnished,1
88,"Mont Kiara, Kuala Lumpur",504000.0,5.0,3.0,Condo,Land area : 2702 sq. ft.,Partly Furnished,5
89,"KLCC, Kuala Lumpur",431550.0,1.0,1.0,Residence,Built-up : 797 sq. ft.,Partly Furnished,2
90,"KLCC, Kuala Lumpur",359940.0,1.0,1.0,Residence,Built-up : 700 sq. ft.,Partly Furnished,1
93,"KLCC, Kuala Lumpur",483000.0,4.0,3.0,Residence,"Built-up : 3,282 sq. ft.",Partly Furnished,4
94,"Bukit Jalil, Kuala Lumpur",193200.0,3.0,2.0,Condo,"Built-up : 1,513 sq. ft.",Partly Furnished,5
95,"KLCC, Kuala Lumpur",483000.0,1.0,2.0,Residence,"Built-up : 1,046 sq. ft.",Partly Furnished,1
96,"Taman Tun Dr Ismail, Kuala Lumpur",1048950.0,7.0,6.0,Bungalow,Land area : 8113 sq. ft.,Partly Furnished,6
97,"Taman Tun Dr Ismail, Kuala Lumpur",342300.0,3.0,2.0,Terrace/Link,Land area : 22x80 sq. ft.,Partly Furnished,4
98,"Mont Kiara, Kuala Lumpur",388500.0,4.0,2.0,Condo,"Built-up : 1,830 sq. ft.",Partly Furnished,5
100,"KLCC, Kuala Lumpur",374430.0,2.0,1.0,Condo,Built-up : 976 sq. ft.,Partly Furnished,2
101,"Dutamas, Kuala Lumpur",247800.0,4.0,1.0,Condo,"Built-up : 1,942 sq. ft.",Partly Furnished,4
103,"Bukit Jalil, Kuala Lumpur",189000.0,3.0,2.0,Condo,"Built-up : 1,513 sq. ft.",Partly Furnished,5
104,"City Centre, Kuala Lumpur",357000.0,2.0,1.0,Residence,"Built-up : 1,442 sq. ft.",Fully Furnished,3
108,"Mont Kiara, Kuala Lumpur",651000.0,6.0,3.0,Condo,"Built-up : 3,400 sq. ft.",Fully Furnished,5
109,"Bukit Jalil, Kuala Lumpur",132300.0,2.0,2.0,Residence,Built-up : 791 sq. ft.,Partly Furnished,2
111,"Kepong, Kuala Lumpur",428400.0,5.0,4.0,Terrace/Link,Land area : 32 x 75 sq. ft.,Partly Furnished,6
112,"KLCC, Kuala Lumpur",373800.0,1.0,1.0,Residence,Built-up : 728 sq. ft.,Fully Furnished,1
114,"Desa ParkCity, Kuala Lumpur",220500.0,2.0,2.0,Condo,"Built-up : 1,389 sq. ft.",Partly Furnished,3
115,"Mont Kiara, Kuala Lumpur",546000.0,4.0,3.0,Condo,"Built-up : 3,041 sq. ft.",Partly Furnished,5
116,"Bangsar South, Kuala Lumpur",132300.0,1.0,1.0,Residence,Built-up : 663 sq. ft.,Partly Furnished,2
117,"KLCC, Kuala Lumpur",706440.0,2.0,2.0,Residence,"Built-up : 1,399 sq. ft.",Fully Furnished,3
118,"Bukit Jalil, Kuala Lumpur",205380.0,3.0,2.0,Condo,"Built-up : 1,513 sq. ft.",Partly Furnished,5
119,"KLCC, Kuala Lumpur",756000.0,5.0,2.0,Residence,"Built-up : 3,897 sq. ft.",Partly Furnished,4
120,"KLCC, Kuala Lumpur",756000.0,5.0,2.0,Residence,"Built-up : 3,897 sq. ft.",Partly Furnished,4
121,"KLCC, Kuala Lumpur",420000.0,1.0,1.0,Residence,"Built-up : 1,087 sq. ft.",Fully Furnished,1
122,"Mont Kiara, Kuala Lumpur",342300.0,4.0,2.0,Condo,"Built-up : 2,065 sq. ft.",Partly Furnished,5
124,"Taman Tun Dr Ismail, Kuala Lumpur",268800.0,3.0,3.0,Terrace/Link,Land area : 25x75 sq. ft.,Partly Furnished,4
125,"KLCC, Kuala Lumpur",262500.0,2.0,1.0,Condo,Built-up : 736 sq. ft.,Partly Furnished,2
127,"Bangsar South, Kuala Lumpur",132300.0,1.0,1.0,Residence,Built-up : 650 sq. ft.,Fully Furnished,2
128,"KLCC, Kuala Lumpur",283500.0,2.0,1.0,Residence,"Built-up : 1,050 sq. ft.",Fully Furnished,2
129,"Bangsar South, Kuala Lumpur",102900.0,1.0,1.0,Residence,Built-up : 500 sq. ft.,Fully Furnished,1
131,"Bangsar South, Kuala Lumpur",168000.0,2.0,1.0,Residence,Built-up : 825 sq. ft.,Partly Furnished,2
133,"Dutamas, Kuala Lumpur",217350.0,5.0,2.0,Condo,"Built-up : 1,853 sq. ft.",Unknown,4
135,"KLCC, Kuala Lumpur",210000.0,1.0,1.0,Condo,Built-up : 657 sq. ft.,Fully Furnished,1
136,"Sungai Besi, Kuala Lumpur",94248.0,3.0,1.0,Residence,"Built-up : 1,045 sq. ft.",Unfurnished,3
138,"Mont Kiara, Kuala Lumpur",520800.0,5.0,3.0,Condo,"Built-up : 3,041 sq. ft.",Partly Furnished,5
139,"KL Sentral, Kuala Lumpur",570360.0,4.0,2.0,Residence,"Built-up : 2,227 sq. ft.",Partly Furnished,4
141,"Country Heights Damansara, Kuala Lumpur",1995000.0,7.0,6.0,Bungalow,Land area : 10000 sq. ft.,Partly Furnished,7
143,"Taman Desa, Kuala Lumpur",105000.0,2.0,1.0,Residence,Built-up : 715 sq. ft.,Partly Furnished,2
144,"Damansara Heights, Kuala Lumpur",2898000.0,7.0,3.0,Bungalow,Land area : 7500 sq. ft.,Partly Furnished,6
146,"Desa ParkCity, Kuala Lumpur",483000.0,3.0,2.0,Terrace/Link,Land area : 22x83 sq. ft.,Partly Furnished,4
149,"Mont Kiara, Kuala Lumpur",520800.0,5.0,3.0,Condo,"Built-up : 3,041 sq. ft.",Unfurnished,5
150,"KLCC, Kuala Lumpur",735000.0,3.0,1.0,Residence,"Built-up : 1,560 sq. ft.",Fully Furnished,3
152,"Taman Tun Dr Ismail, Kuala Lumpur",289800.0,3.0,2.0,Terrace/Link,Land area : 24x75 sq. ft.,Fully Furnished,4
153,"KLCC, Kuala Lumpur",756000.0,4.0,2.0,Residence,"Built-up : 3,897 sq. ft.",Fully Furnished,4
155,"Bukit Jalil, Kuala Lumpur",222600.0,4.0,4.0,Condo,"Built-up : 1,772 sq. ft.",Partly Furnished,5
156,"Bukit Jalil, Kuala Lumpur",189000.0,3.0,3.0,Condo,"Built-up : 1,513 sq. ft.",Partly Furnished,5
157,"KLCC, Kuala Lumpur",388500.0,1.0,1.0,Condo,"Built-up : 2,174 sq. ft.",Partly Furnished,3
158,"Sentul, Kuala Lumpur",140280.0,3.0,3.0,Condo,"Built-up : 1,345 sq. ft.",Fully Furnished,4
159,"KLCC, Kuala Lumpur",220500.0,3.0,2.0,Residence,"Built-up : 1,313 sq. ft.",Fully Furnished,4
163,"KLCC, Kuala Lumpur",629580.0,3.0,2.0,Condo,"Built-up : 3,218 sq. ft.",Partly Furnished,4
164,"KLCC, Kuala Lumpur",541800.0,3.0,2.0,Condo,"Built-up : 2,809 sq. ft.",Partly Furnished,4
171,"KLCC, Kuala Lumpur",231000.0,2.0,1.0,Residence,Built-up : 880 sq. ft.,Fully Furnished,2
172,"KLCC, Kuala Lumpur",756000.0,3.0,2.0,Residence,"Built-up : 3,897 sq. ft.",Partly Furnished,5
173,"KLCC, Kuala Lumpur",609000.0,4.0,3.0,Condo,"Built-up : 2,809 sq. ft.",Fully Furnished,4
174,"Sentul, Kuala Lumpur",140700.0,2.0,2.0,Condo,"Built-up : 1,085 sq. ft.",Partly Furnished,3
178,"Desa ParkCity, Kuala Lumpur",283500.0,2.0,2.0,Condo,"Built-up : 1,292 sq. ft.",Partly Furnished,2
179,"KLCC, Kuala Lumpur",483000.0,2.0,1.0,Residence,"Built-up : 1,023 sq. ft.",Partly Furnished,1
180,"KLCC, Kuala Lumpur",399000.0,2.0,1.0,Condo,Built-up : 915 sq. ft.,Partly Furnished,2
181,"KLCC, Kuala Lumpur",304500.0,2.0,2.0,Residence,"Built-up : 1,090 sq. ft.",Fully Furnished,2
183,"KLCC, Kuala Lumpur",273000.0,1.0,1.0,Residence,Built-up : 925 sq. ft.,Partly Furnished,1
184,"KLCC, Kuala Lumpur",756000.0,4.0,2.0,Residence,"Built-up : 3,897 sq. ft.",Partly Furnished,3
185,"Taman Tun Dr Ismail, Kuala Lumpur",342300.0,3.0,2.0,Terrace/Link,Land area : 22x80 sq. ft.,Partly Furnished,4
187,"Taman Tun Dr Ismail, Kuala Lumpur",1123500.0,5.0,3.0,Bungalow,Land area : 7200 sq. ft.,Partly Furnished,6
188,"Bukit Jalil, Kuala Lumpur",220500.0,4.0,4.0,Condo,"Built-up : 1,772 sq. ft.",Partly Furnished,5
189,"Bukit Jalil, Kuala Lumpur",252000.0,4.0,4.0,Condo,"Built-up : 1,930 sq. ft.",Partly Furnished,6
190,"Bukit Jalil, Kuala Lumpur",189000.0,3.0,2.0,Condo,"Built-up : 1,513 sq. ft.",Partly Furnished,5
191,"Damansara Heights, Kuala Lumpur",472878.0,4.0,2.0,Residence,"Built-up : 1,668 sq. ft.",Partly Furnished,3
192,"Bukit Jalil, Kuala Lumpur",209580.0,5.0,4.0,Terrace/Link,Land area : 1650 sq. ft.,Partly Furnished,6
193,"Mont Kiara, Kuala Lumpur",325500.0,4.0,2.0,Condo,"Built-up : 1,496 sq. ft.",Partly Furnished,4
194,"Setapak, Kuala Lumpur",163800.0,3.0,2.0,Condo,"Built-up : 1,368 sq. ft.",Partly Furnished,3
195,"Desa ParkCity, Kuala Lumpur",289800.0,2.0,2.0,Condo,"Built-up : 1,292 sq. ft.",Partly Furnished,2
196,"Desa ParkCity, Kuala Lumpur",377580.0,3.0,2.0,Terrace/Link,"Built-up : 2,200 sq. ft.",Partly Furnished,4
198,"KLCC, Kuala Lumpur",266280.0,3.0,1.0,Condo,"Built-up : 1,619 sq. ft.",Fully Furnished,3
199,"KLCC, Kuala Lumpur",546000.0,4.0,3.0,Condo,"Built-up : 2,809 sq. ft.",Fully Furnished,4
200,"KLCC, Kuala Lumpur",882000.0,4.0,2.0,Residence,"Built-up : 2,195 sq. ft.",Partly Furnished,4
201,"KLCC, Kuala Lumpur",699300.0,3.0,1.0,Residence,"Built-up : 2,789 sq. ft.",Fully Furnished,3
202,"KLCC, Kuala Lumpur",546000.0,2.0,1.0,Residence,"Built-up : 1,184 sq. ft.",Fully Furnished,2
203,"KLCC, Kuala Lumpur",409500.0,2.0,1.0,Residence,"Built-up : 1,076 sq. ft.",Partly Furnished,2
206,"Kepong, Kuala Lumpur",133980.0,2.0,4.0,Terrace/Link,Land area : 27x70 sq. ft.,Partly Furnished,4
207,"KLCC, Kuala Lumpur",294000.0,2.0,1.0,Residence,"Built-up : 1,050 sq. ft.",Fully Furnished,2
208,"Kepong, Kuala Lumpur",178500.0,3.0,2.0,Terrace/Link,Land area : 22x80 sq. ft.,Partly Furnished,4
209,"Damansara Heights, Kuala Lumpur",1365000.0,5.0,4.0,Bungalow,Land area : 7200 sq. ft.,Partly Furnished,6
210,"Mont Kiara, Kuala Lumpur",378000.0,4.0,2.0,Condo,"Built-up : 1,830 sq. ft.",Partly Furnished,4
211,"Bangsar, Kuala Lumpur",798000.0,5.0,4.0,Bungalow,"Built-up : 4,067 sq. ft.",Partly Furnished,5
213,"KLCC, Kuala Lumpur",756000.0,5.0,2.0,Residence,"Built-up : 3,897 sq. ft.",Unknown,5
215,"Segambut, Kuala Lumpur",133350.0,4.0,2.0,Condo,"Built-up : 1,643 sq. ft.",Partly Furnished,4
217,"KLCC, Kuala Lumpur",1064700.0,4.0,3.0,Residence,"Built-up : 2,142 sq. ft.",Partly Furnished,4
218,"KL City, Kuala Lumpur",253470.0,1.0,1.0,Residence,Built-up : 685 sq. ft.,Partly Furnished,1
219,"KL City, Kuala Lumpur",247170.0,1.0,1.0,Residence,Built-up : 717 sq. ft.,Partly Furnished,2
222,"Wangsa Maju, Kuala Lumpur",147000.0,2.0,2.0,Condo,"Built-up : 1,152 sq. ft.",Partly Furnished,3
225,"Mont Kiara, Kuala Lumpur",794934.0,5.0,3.0,Condo,"Built-up : 3,907 sq. ft.",Partly Furnished,6
226,"KLCC, Kuala Lumpur",273000.0,2.0,2.0,Condo,Built-up : 871 sq. ft.,Fully Furnished,2
227,"Sentul, Kuala Lumpur",201600.0,4.0,2.0,Condo,"Built-up : 1,488 sq. ft.",Unfurnished,4
228,"KL City, Kuala Lumpur",102900.0,2.0,2.0,Condo,"Built-up : 1,065 sq. ft.",Unfurnished,4
229,"Mont Kiara, Kuala Lumpur",882000.0,5.0,3.0,Condo,"Built-up : 3,709 sq. ft.",Partly Furnished,6
230,"KLCC, Kuala Lumpur",304500.0,1.0,1.0,Residence,"Built-up : 1,050 sq. ft.",Fully Furnished,2
231,"Desa ParkCity, Kuala Lumpur",499800.0,4.0,3.0,Condo,"Built-up : 2,454 sq. ft.",Fully Furnished,5
234,"Bukit Jalil, Kuala Lumpur",254100.0,6.0,4.0,Terrace/Link,"Built-up : 3,400 sq. ft.",Partly Furnished,6
235,"Taman Tun Dr Ismail, Kuala Lumpur",1048950.0,7.0,6.0,Bungalow,Land area : 8113 sq. ft.,Partly Furnished,6
236,"Mont Kiara, Kuala Lumpur",399000.0,4.0,2.0,Condo,"Built-up : 1,830 sq. ft.",Partly Furnished,5
237,"KLCC, Kuala Lumpur",567000.0,2.0,2.0,Residence,"Built-up : 1,195 sq. ft.",Partly Furnished,2
238,"KLCC, Kuala Lumpur",1323000.0,4.0,2.0,Residence,"Built-up : 2,195 sq. ft.",Partly Furnished,4
240,"KLCC, Kuala Lumpur",399000.0,2.0,1.0,Condo,Built-up : 915 sq. ft.,Fully Furnished,3
241,"KLCC, Kuala Lumpur",630000.0,5.0,3.0,Condo,"Built-up : 3,218 sq. ft.",Partly Furnished,5
244,"KLCC, Kuala Lumpur",210000.0,1.0,1.0,Condo,Built-up : 751 sq. ft.,Partly Furnished,1
245,"KLCC, Kuala Lumpur",210000.0,1.0,1.0,Condo,Built-up : 751 sq. ft.,Partly Furnished,1
246,"KLCC, Kuala Lumpur",420000.0,2.0,1.0,Residence,"Built-up : 1,350 sq. ft.",Fully Furnished,3
247,"KLCC, Kuala Lumpur",1339800.0,4.0,2.0,Residence,"Built-up : 2,195 sq. ft.",Partly Furnished,4
249,"Batu Caves, Kuala Lumpur",142122.75,3.0,4.0,Residence,"Built-up : 1,265 sq. ft.",Partly Furnished,4
251,"Mont Kiara, Kuala Lumpur",384300.0,4.0,2.0,Condo,"Built-up : 1,830 sq. ft.",Partly Furnished,5
252,"City Centre, Kuala Lumpur",367500.0,3.0,1.0,Residence,"Built-up : 1,442 sq. ft.",Partly Furnished,3
253,"Desa ParkCity, Kuala Lumpur",373800.0,3.0,2.0,Terrace/Link,"Built-up : 2,400 sq. ft.",Fully Furnished,4
255,"Bukit Jalil, Kuala Lumpur",252000.0,4.0,4.0,Condo,"Built-up : 1,930 sq. ft.",Partly Furnished,6
256,"KLCC, Kuala Lumpur",483000.0,2.0,1.0,Residence,"Built-up : 1,046 sq. ft.",Partly Furnished,1
257,"KLCC, Kuala Lumpur",483000.0,1.0,2.0,Residence,"Built-up : 1,046 sq. ft.",Partly Furnished,1
258,"Mont Kiara, Kuala Lumpur",336000.0,3.0,2.0,Condo,"Built-up : 1,878 sq. ft.",Partly Furnished,4
259,"Mont Kiara, Kuala Lumpur",271110.0,4.0,3.0,Condo,"Built-up : 2,069 sq. ft.",Partly Furnished,6
260,"KLCC, Kuala Lumpur",184800.0,1.0,1.0,Residence,Built-up : 710 sq. ft.,Fully Furnished,1
261,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",137550.0,2.0,2.0,Residence,"Built-up : 1,094 sq. ft.",Partly Furnished,4
263,"Mont Kiara, Kuala Lumpur",294000.0,4.0,2.0,Condo,"Built-up : 1,496 sq. ft.",Partly Furnished,4
264,"KLCC, Kuala Lumpur",1674802.5,6.0,2.0,Residence,"Built-up : 2,975 sq. ft.",Fully Furnished,5
265,"Mont Kiara, Kuala Lumpur",231000.0,2.0,2.0,Condo,"Built-up : 1,200 sq. ft.",Partly Furnished,3
266,"KLCC, Kuala Lumpur",259980.0,2.0,1.0,Condo,Built-up : 736 sq. ft.,Partly Furnished,2
267,"Bangsar South, Kuala Lumpur",157500.0,2.0,1.0,Residence,Built-up : 823 sq. ft.,Partly Furnished,2
268,"Damansara Heights, Kuala Lumpur",441000.0,4.0,2.0,Condo,"Built-up : 2,153 sq. ft.",Partly Furnished,4
270,"Mont Kiara, Kuala Lumpur",315000.0,2.0,2.0,Condo,"Built-up : 1,200 sq. ft.",Fully Furnished,3
271,"Mont Kiara, Kuala Lumpur",483000.0,6.0,3.0,Condo,"Built-up : 2,702 sq. ft.",Partly Furnished,5
273,"KLCC, Kuala Lumpur",207900.0,3.0,2.0,Residence,"Built-up : 1,313 sq. ft.",Fully Furnished,4
274,"KLCC, Kuala Lumpur",831600.0,4.0,2.0,Residence,"Built-up : 2,195 sq. ft.",Partly Furnished,4
275,"KLCC, Kuala Lumpur",567000.0,2.0,2.0,Residence,"Built-up : 1,184 sq. ft.",Fully Furnished,2
276,"KLCC, Kuala Lumpur",399000.0,2.0,1.0,Residence,"Built-up : 1,087 sq. ft.",Fully Furnished,2
277,"Desa ParkCity, Kuala Lumpur",1146600.0,9.0,6.0,Terrace/Link,"Built-up : 7,000 sq. ft.",Partly Furnished,8
278,"KLCC, Kuala Lumpur",430500.0,5.0,2.0,Condo,"Built-up : 2,356 sq. ft.",Fully Furnished,4
279,"Bangsar South, Kuala Lumpur",235578.0,2.0,1.0,Residence,"Built-up : 1,200 sq. ft.",Fully Furnished,3
280,"KLCC, Kuala Lumpur",316323.0,1.0,1.0,Residence,"Built-up : 1,020 sq. ft.",Fully Furnished,2
281,"Bangsar, Kuala Lumpur",321300.0,3.0,2.0,Condo,"Built-up : 2,095 sq. ft.",Fully Furnished,4
282,"Ampang, Kuala Lumpur",772800.0,8.0,4.0,Bungalow,Land area : 6300 sq. ft.,Unfurnished,7
283,"KLCC, Kuala Lumpur",756000.0,5.0,2.0,Residence,"Built-up : 3,897 sq. ft.",Partly Furnished,4
285,"Sri Hartamas, Kuala Lumpur",3108000.0,6.0,4.0,Bungalow,Land area : 8611 sq. ft.,Fully Furnished,6
286,"Desa ParkCity, Kuala Lumpur",310800.0,4.0,2.0,Condo,"Built-up : 1,917 sq. ft.",Partly Furnished,5
287,"Bangsar South, Kuala Lumpur",220500.0,2.0,2.0,Condo,"Built-up : 1,485 sq. ft.",Fully Furnished,3
289,"Klcc, Kuala Lumpur",252003.99,2.0,1.0,Condo,Built-up : 577 sq. ft.,Partly Furnished,2
291,"Bukit Kiara, Kuala Lumpur",1047666.48,6.0,3.0,Terrace/Link,Land area : 24x85 sq. ft.,Partly Furnished,5
293,"Mont Kiara, Kuala Lumpur",382200.0,4.0,2.0,Condo,"Built-up : 1,830 sq. ft.",Partly Furnished,5
295,"Mont Kiara, Kuala Lumpur",298200.0,4.0,2.0,Condo,"Built-up : 1,499 sq. ft.",Partly Furnished,4
296,"Mont Kiara, Kuala Lumpur",384300.0,4.0,2.0,Condo,"Built-up : 1,832 sq. ft.",Partly Furnished,5
297,"Bukit Kiara, Kuala Lumpur",1047666.48,6.0,3.0,Terrace/Link,Land area : 24x85 sq. ft.,Partly Furnished,6
298,"KLCC, Kuala Lumpur",352800.0,2.0,3.0,Condo,"Built-up : 1,159 sq. ft.",Fully Furnished,4
299,"KLCC, Kuala Lumpur",464100.0,3.0,2.0,Condo,"Built-up : 1,502 sq. ft.",Fully Furnished,3
300,"KLCC, Kuala Lumpur",298200.0,2.0,1.0,Condo,Built-up : 976 sq. ft.,Fully Furnished,2
301,"KLCC, Kuala Lumpur",756000.0,5.0,2.0,Residence,Land area : 3897 sq. ft.,Partly Furnished,5
302,"KLCC, Kuala Lumpur",259980.0,2.0,1.0,Condo,Built-up : 736 sq. ft.,Partly Furnished,2
305,"KLCC, Kuala Lumpur",239190.0,1.0,1.0,Condo,Built-up : 751 sq. ft.,Partly Furnished,1
306,"KLCC, Kuala Lumpur",615300.0,2.0,2.0,Residence,"Built-up : 1,114 sq. ft.",Fully Furnished,2
308,"Damansara Heights, Kuala Lumpur",340200.0,2.0,1.0,Residence,"Built-up : 1,194 sq. ft.",Partly Furnished,2
309,"Desa ParkCity, Kuala Lumpur",273000.0,3.0,2.0,Condo,"Built-up : 1,367 sq. ft.",Partly Furnished,3
310,"Country Heights Damansara, Kuala Lumpur",1680000.0,7.0,6.0,Bungalow,Land area : 10600 sq. ft.,Partly Furnished,7
